Time,Time Code,Country Name,Country Code,Duration of compulsory education (years) [SE.COM.DURS],GDP per capita (current US$) [NY.GDP.PCAP.CD],"Government expenditure on education, US$ (millions) [UIS.X.US.FSGOV]",Expenditure on education as % of total government expenditure (%) [SE.XPD.TOTL.GB.ZS],"School life expectancy, primary and secondary, both sexes (years) [UIS.SLE.123]"
2015,YR2015,Afghanistan,AFG,9,578.466352941708,648.13575,12.509,9.35507
2015,YR2015,Albania,ALB,9,3952.82945832578,391.47614,11.3177,11.97592
2015,YR2015,Algeria,DZA,10,4177.86751715913,..,..,..
2015,YR2015,American Samoa,ASM,..,11843.3311832581,..,..,..
2015,YR2015,Andorra,AND,10,36039.6534962289,91.51744,19.4891,..
2015,YR2015,Angola,AGO,6,4166.97968386501,..,..,..
2015,YR2015,Antigua and Barbuda,ATG,11,14286.0931598293,..,..,12.73597
2015,YR2015,Arab World,ARB,..,..,..,..,9.90207
2015,YR2015,Argentina,ARG,14,13789.060424772,34353.38171,13.96331,13.13616
2015,YR2015,Armenia,ARM,12,3607.29669672271,296.11674,10.65636,10.64186
2015,YR2015,Aruba,ABW,13,25796.3802506382,174.46398,22.85499,..
2015,YR2015,Australia,AUS,10,56755.7217124249,71792.18446,14.07972,15.95643
2015,YR2015,Austria,AUT,10,44178.0473777432,20834.1936,10.69348,11.91515
2015,YR2015,Azerbaijan,AZE,10,5500.32049702735,1566.58764,7.6311,..
2015,YR2015,"Bahamas, The",BHS,12,31405.9635601781,..,..,9.14179
2015,YR2015,Bahrain,BHR,9,22688.9637865734,830.4628,7.29736,12.06702
2015,YR2015,Bangladesh,BGD,5,1248.45339778371,..,..,..
2015,YR2015,Barbados,BRB,11,16561.8735192273,..,..,11.13803
2015,YR2015,Belarus,BLR,9,5949.10630699748,2702.7836,11.46173,11.3404
2015,YR2015,Belgium,BEL,12,40991.8081381432,29815.92584,12.17073,15.63805
2015,YR2015,Belize,BLZ,8,4775.91507722419,114.54848,21.61292,11.62508
2015,YR2015,Benin,BEN,6,784.27840718279,361.3441,17.47952,12.01195
2015,YR2015,Bermuda,BMU,13,..,96.31472,9.0188,11.45545
2015,YR2015,Bhutan,BTN,..,2752.66420795769,144.75006,26.35213,12.22428
2015,YR2015,Bolivia,BOL,14,3035.97221489277,..,..,11.37
2015,YR2015,Bosnia and Herzegovina,BIH,9,4727.27738086936,..,..,..
2015,YR2015,Botswana,BWA,..,6799.87523352768,..,..,..
2015,YR2015,Brazil,BRA,14,8814.00098681261,112477.25841,16.21822,..
2015,YR2015,British Virgin Islands,VGB,12,..,..,..,13.09869
2015,YR2015,Brunei Darussalam,BRN,9,31164.5620291141,..,..,13.08971
2015,YR2015,Bulgaria,BGR,11,6993.78348267387,..,..,11.6939
2015,YR2015,Burkina Faso,BFA,10,575.314454176311,434.25034,18.02708,7.96531
