"NATMON_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","VAT","Holy See","2016","2016",,"a","Category not applicable"
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","VAT","Holy See","2017","2017",,"a","Category not applicable"
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","VAT","Holy See","2018","2018",,"a","Category not applicable"
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","VAT","Holy See","2019","2019",,"a","Category not applicable"
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","VAT","Holy See","2020","2020",,"a","Category not applicable"
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","VAT","Holy See","2021","2021",,"a","Category not applicable"
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","VAT","Holy See","2022","2022",,"a","Category not applicable"
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","PER","Peru","2016","2016",1.32854,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","PER","Peru","2017","2017",1.31644,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","PER","Peru","2018","2018",1.25846,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","PER","Peru","2019","2019",1.24806,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","PER","Peru","2020","2020",1.42265,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","PER","Peru","2021","2021",1.36917,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","MNG","Mongolia","2016","2016",2.47655,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","MNG","Mongolia","2017","2017",2.19243,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","MNG","Mongolia","2018","2018",3.22372,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","MNG","Mongolia","2019","2019",2.67429,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","MNG","Mongolia","2020","2020",2.17958,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","MNG","Mongolia","2021","2021",2.40748,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","HUN","Hungary","2016","2016",1.85559,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","HUN","Hungary","2017","2017",1.72299,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","HUN","Hungary","2018","2018",1.70292,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","HUN","Hungary","2019","2019",1.56496,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","CMR","Cameroon","2016","2016",0.23778,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","CMR","Cameroon","2017","2017",0.32276,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","CMR","Cameroon","2018","2018",0.28973,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","CMR","Cameroon","2019","2019",0.28186,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","CMR","Cameroon","2020","2020",0.27773,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","CMR","Cameroon","2021","2021",0.2597,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","DJI","Djibouti","2016","2016",0.03251,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","ZAF","South Africa","2016","2016",0.61952,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","ZAF","South Africa","2017","2017",0.80405,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","ZAF","South Africa","2018","2018",0.8608,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","ZAF","South Africa","2019","2019",1.03335,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","ZAF","South Africa","2020","2020",1.15818,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","ZAF","South Africa","2021","2021",1.28136,,
"XGDP_2T4_V_FSGOV","Government expenditure on secondary and post-secondary non-tertiary vocational education as a percentage of GDP (%)","MYS","Malaysia","2016","2016",0.10336,,
"XGDP_2T4_V_FSGOV","Government expenditure on secondary and post-secondary non-tertiary vocational education as a percentage of GDP (%)","MYS","Malaysia","2017","2017",0.02677,,
"XGDP_2T4_V_FSGOV","Government expenditure on secondary and post-secondary non-tertiary vocational education as a percentage of GDP (%)","MYS","Malaysia","2020","2020",,"n","Magnitude nil or negligible"
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","NAM","Namibia","2016","2016",0.04083,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","NAM","Namibia","2017","2017",0.0378,,
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","CRI","Costa Rica","2016","2016",,"a","Category not applicable"
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","CRI","Costa Rica","2017","2017",,"a","Category not applicable"
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","CRI","Costa Rica","2018","2018",,"a","Category not applicable"
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","CRI","Costa Rica","2019","2019",,"a","Category not applicable"
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","CRI","Costa Rica","2020","2020",,"a","Category not applicable"
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","SGP","Singapore","2016","2016",0.66093,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","SGP","Singapore","2017","2017",0.73848,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","SGP","Singapore","2018","2018",0.72507,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","SGP","Singapore","2019","2019",0.68835,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","SGP","Singapore","2020","2020",0.68529,,
"XGDP_3_FSGOV","Government expenditure on upper secondary education as a percentage of GDP (%)","MEX","Mexico","2016","2016",0.76881,,
"XGDP_3_FSGOV","Government expenditure on upper secondary education as a percentage of GDP (%)","MEX","Mexico","2017","2017",0.7065,,
"XGDP_3_FSGOV","Government expenditure on upper secondary education as a percentage of GDP (%)","MEX","Mexico","2018","2018",0.6331,,
"XGDP_3_FSGOV","Government expenditure on upper secondary education as a percentage of GDP (%)","MEX","Mexico","2019","2019",0.68942,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","URY","Uruguay","2016","2016",1.10021,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","URY","Uruguay","2017","2017",1.09746,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","URY","Uruguay","2018","2018",1.14138,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","URY","Uruguay","2019","2019",1.08645,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","URY","Uruguay","2020","2020",1.20701,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","URY","Uruguay","2021","2021",0.61043,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","LTU","Lithuania","2016","2016",0.62774,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","LTU","Lithuania","2017","2017",0.62018,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","LTU","Lithuania","2018","2018",0.68877,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","LTU","Lithuania","2019","2019",0.70094,,
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","TCA","Turks and Caicos Islands","2018","2018",,"n","Magnitude nil or negligible"
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","TCA","Turks and Caicos Islands","2019","2019",,"a","Category not applicable"
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","TCA","Turks and Caicos Islands","2021","2021",,"a","Category not applicable"
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","MMR","Myanmar","2017","2017",0.91658,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","MMR","Myanmar","2018","2018",0.88378,,
