Section,FinalGrade
002,81
002,72
002,78
002,81
002,89
002,78
002,87
002,78
002,69
002,80
002,76
002,85
002,83
002,79
002,91
002,82
002,96
002,73
002,73
002,73
002,99
002,89
002,79
002,83
002,83
017,67
017,74
017,82
017,84
017,87
017,90
017,84
017,72
017,69
017,82
017,78
017,85
017,75
017,82
017,79
017,87
017,77
017,81
017,90
017,64
017,94
017,80
017,96
017,91
017,94
005,74
005,80
005,85
005,77
005,90
005,81
005,79
005,79
005,91
005,86
005,77
005,79
005,87
005,79
005,75
005,82
005,74
005,87
005,70
005,85
005,80
005,90
005,87
005,88
005,68
003,91
003,81
003,93
003,84
003,76
003,93
003,76
003,82
003,93
003,89
003,95
003,89
003,96
003,81
003,92
003,84
003,86
003,75
003,86
003,98
003,86
003,89
003,65
003,70
003,72
