year,gdp_growth,wto
2017,7.54,1
2016,7.52,1
2015,8,1
2014,7.77,1
2013,8.49,1
2012,8.28,1
2011,10.17,1
2010,12.5,1
2009,9.9,1
2008,10.47,1
2007,15,1
2006,14.88,1
2005,14.17,1
2004,13.16,1
2003,14.8,1
2002,12.37,1
2001,10.53,1
2000,11.71,0
1999,10.27,0
1998,10.86,0
1997,11.24,0
1996,11.35,0
1995,15.69,0
1994,19.71,0
1993,22.98,0
1992,22.11,0
1991,17.68,0
1990,11.57,0
1989,7.19,0
1988,15.8,0
1987,19.64,0
1986,12.74,0
1985,17.95,0
1984,15.56,0
1983,7.29,0
1982,11.96,0
1981,9,0
1980,16.63,0
1979,8.45,0
