Time,timecode,countryname,countrycode,dec,gdpper,govex,ex,sl
2015,YR2015,Afghanistan,AFG,9,578.4663529,648.13575,12.509,9.35507
2015,YR2015,Albania,ALB,9,3952.829458,391.47614,11.3177,11.97592
2015,YR2015,Algeria,DZA,10,4177.867517,..,..,..
2015,YR2015,American Samoa,ASM,..,11843.33118,..,..,..
2015,YR2015,Andorra,AND,10,36039.6535,91.51744,19.4891,..
2015,YR2015,Angola,AGO,6,4166.979684,..,..,..
2015,YR2015,Antigua and Barbuda,ATG,11,14286.09316,..,..,12.73597
2015,YR2015,Argentina,ARG,14,13789.06042,34353.38171,13.96331,13.13616
2015,YR2015,Armenia,ARM,12,3607.296697,296.11674,10.65636,10.64186
2015,YR2015,Aruba,ABW,13,25796.38025,174.46398,22.85499,..
2015,YR2015,Australia,AUS,10,56755.72171,71792.18446,14.07972,15.95643
2015,YR2015,Austria,AUT,10,44178.04738,20834.1936,10.69348,11.91515
2015,YR2015,Azerbaijan,AZE,10,5500.320497,1566.58764,7.6311,..
2015,YR2015,"Bahamas, The",BHS,12,31405.96356,..,..,9.14179
2015,YR2015,Bahrain,BHR,9,22688.96379,830.4628,7.29736,12.06702
2015,YR2015,Bangladesh,BGD,5,1248.453398,..,..,..
2015,YR2015,Barbados,BRB,11,16561.87352,..,..,11.13803
2015,YR2015,Belarus,BLR,9,5949.106307,2702.7836,11.46173,11.3404
2015,YR2015,Belgium,BEL,12,40991.80814,29815.92584,12.17073,15.63805
2015,YR2015,Belize,BLZ,8,4775.915077,114.54848,21.61292,11.62508
2015,YR2015,Benin,BEN,6,784.2784072,361.3441,17.47952,12.01195
2015,YR2015,Bermuda,BMU,13,..,96.31472,9.0188,11.45545
2015,YR2015,Bhutan,BTN,..,2752.664208,144.75006,26.35213,12.22428
2015,YR2015,Bolivia,BOL,14,3035.972215,..,..,11.37
2015,YR2015,Bosnia and Herzegovina,BIH,9,4727.277381,..,..,..
2015,YR2015,Botswana,BWA,..,6799.875234,..,..,..
2015,YR2015,Brazil,BRA,14,8814.000987,112477.2584,16.21822,..
2015,YR2015,British Virgin Islands,VGB,12,..,..,..,13.09869
2015,YR2015,Brunei Darussalam,BRN,9,31164.56203,..,..,13.08971
2015,YR2015,Bulgaria,BGR,11,6993.783483,..,..,11.6939
2015,YR2015,Burkina Faso,BFA,10,575.3144542,434.25034,18.02708,7.96531
2015,YR2015,Burundi,BDI,..,305.5497728,197.76661,24.21655,11.2713
2015,YR2015,Cabo Verde,CPV,10,3043.013984,84.10203,16.74823,11.98277
2015,YR2015,Cambodia,KHM,..,1162.90492,..,..,..
2015,YR2015,Cameroon,CMR,6,1326.969277,856.12142,13.24399,11.23056
2015,YR2015,Canada,CAN,10,43495.05439,..,..,12.65205
2015,YR2015,Cayman Islands,CYM,12,76280.48625,..,..,..
2015,YR2015,Central African Republic,CAF,10,377.2712538,..,..,..
2015,YR2015,Chad,TCD,10,775.7075235,..,..,7.18679
2015,YR2015,Channel Islands,CHI,..,..,..,..,..
2015,YR2015,Chile,CHL,12,13574.17183,11891.8011,19.59405,12.06935
2015,YR2015,China,CHN,9,8033.388043,..,..,..
2015,YR2015,Colombia,COL,12,6175.87603,13119.77301,15.13378,11.42221
2015,YR2015,Comoros,COM,6,1242.102885,24.58601,13.25365,..
2015,YR2015,"Congo, Dem. Rep.",COD,6,497.3169608,779.38403,11.73837,9.24857
2015,YR2015,"Congo, Rep.",COG,10,1761.32357,390.30682,7.9504,..
2015,YR2015,Costa Rica,CRI,13,11299.13554,3879.53311,23.37343,12.58345
2015,YR2015,Cote d'Ivoire,CIV,10,1426.457864,1600.83623,21.17322,8.40526
2015,YR2015,Croatia,HRV,8,11782.90255,..,..,12.0098
2015,YR2015,Cuba,CUB,9,7694.01192,..,..,11.83774
2015,YR2015,Curacao,CUW,14,..,..,..,..
2015,YR2015,Cyprus,CYP,10,23333.71491,1255.25574,16.21095,11.901
2015,YR2015,Czech Republic,CZE,9,17715.61685,10815.31409,13.88252,13.25548
2015,YR2015,Denmark,DNK,10,53254.856,..,..,14.87953
2015,YR2015,Djibouti,DJI,10,2675.605374,87.25321,8.57644,6.78075
2015,YR2015,Dominica,DMA,12,7596.435062,17.73169,10.5221,12.81731
2015,YR2015,Dominican Republic,DOM,15,6921.517371,..,..,11.50521
2015,YR2015,Ecuador,ECU,15,6124.491643,4963.22364,12.59765,12.76422
2015,YR2015,"Egypt, Arab Rep.",EGY,12,3598.970948,..,..,..
2015,YR2015,El Salvador,SLV,15,3705.540002,916.40619,16.60156,10.67625
2015,YR2015,Equatorial Guinea,GNQ,6,11278.92894,..,..,..
2015,YR2015,Eritrea,ERI,8,..,..,..,7.82029
2015,YR2015,Estonia,EST,9,17522.23019,1177.07032,12.9666,12.31151
2015,YR2015,Eswatini,SWZ,7,3689.518704,..,..,12.54356
2015,YR2015,Ethiopia,ETH,8,640.5418913,2634.86215,27.09871,8.20501
2015,YR2015,Faroe Islands,FRO,9,52404.65933,..,..,..
2015,YR2015,Fiji,FJI,..,5390.745237,..,..,..
2015,YR2015,Finland,FIN,9,42811.21299,16486.01404,12.41213,14.59819
2015,YR2015,France,FRA,10,36613.37522,..,..,12.36577
2015,YR2015,French Polynesia,PYF,..,..,..,..,..
2015,YR2015,Gabon,GAB,10,7381.746749,..,..,..
2015,YR2015,"Gambia, The",GMB,9,660.7235712,29.2638,11.03293,..
2015,YR2015,Georgia,GEO,9,4014.185944,..,..,12.09145
2015,YR2015,Germany,DEU,13,41139.54457,162481.9365,10.97799,12.80972
2015,YR2015,Ghana,GHA,11,1766.005701,2190.70981,23.8088,10.77206
2015,YR2015,Gibraltar,GIB,10,..,..,..,..
2015,YR2015,Greece,GRC,10,18167.77372,..,..,12.08302
2015,YR2015,Greenland,GRL,10,44536.40131,..,..,..
2015,YR2015,Grenada,GRD,12,9096.870646,..,..,13.86791
2015,YR2015,Guam,GUM,..,35278.92594,..,..,..
2015,YR2015,Guatemala,GTM,16,3923.573344,1884.4448,24.0855,9.41088
2015,YR2015,Guinea,GIN,6,769.2560137,221.36206,11.59878,..
2015,YR2015,Guinea-Bissau,GNB,9,603.1585129,..,..,..
2015,YR2015,Guyana,GUY,6,4166.128516,166.7296,17.80268,..
2015,YR2015,Haiti,HTI,6,815.7282844,275.45724,14.56778,..
2015,YR2015,Honduras,HND,12,2302.201379,1345.42693,24.64456,8.68234
2015,YR2015,"Hong Kong SAR, China",HKG,9,42431.88828,9507.74429,18.60857,12.71181
2015,YR2015,Hungary,HUN,13,12651.56834,5627.07581,9.12867,12.19601
2015,YR2015,Iceland,ISL,10,52428.59576,1306.42756,18.15799,15.10381
2015,YR2015,India,IND,8,1605.605431,..,..,10.59001
2015,YR2015,Indonesia,IDN,9,3331.695128,30849.57429,20.5033,11.56727
2015,YR2015,"Iran, Islamic Rep.",IRN,9,4916.085938,12103.94971,18.56875,11.45181
2015,YR2015,Iraq,IRQ,6,4989.803075,..,..,..
2015,YR2015,Ireland,IRL,10,61995.42278,10955.42069,13.01199,13.91213
2015,YR2015,Isle of Man,IMN,..,81606.28003,..,..,..
2015,YR2015,Israel,ISR,13,35776.79517,17590.92663,15.53671,12.59306
2015,YR2015,Italy,ITA,12,30230.2263,74787.70674,8.12043,13.16206
2015,YR2015,Jamaica,JAM,6,4907.50372,758.23276,20.05148,9.5094
2015,YR2015,Japan,JPN,9,34524.46986,..,..,..
2015,YR2015,Jordan,JOR,10,4105.448961,..,..,..
2015,YR2015,Kazakhstan,KAZ,9,10510.77189,5141.82651,12.19304,11.99107
2015,YR2015,Kenya,KEN,12,1336.883349,3239.13277,16.66466,..
2015,YR2015,Kiribati,KIR,9,1542.57525,..,..,..
2015,YR2015,"Korea, Dem. People閹?Rep.",PRK,12,..,..,..,9.37218
2015,YR2015,"Korea, Rep.",KOR,9,27105.07623,..,..,11.90268
